Merkez,Ünvanı,Adı,Soyadı,Anabilim Dalı,Bilim Dalı,YÖK ID,ResearcherID (Esas),ResearcherID (ikinci),ORCID (Esas),ORCID (ikinci),Scopus AuthorID,ScopusId (ikinci),ScopusId (üçüncü),ScopusId (dördüncü),ScopusId (beşinci),Pure adı
İstanbul,Prof. Dr.,Gülnaz,ARSLAN,Anesteziyoloji ve Reanimasyon,,66AB19A3BB426296,,,0000-0002-7260-0107,,7006502199,,,,,gulnaz-arslan
Adana,Prof. Dr.,Nesrin,BOZDOĞAN ÖZYILKAN,Anesteziyoloji ve Reanimasyon,,0E09F794B2FF4A53,,,0000-0002-4973-8132,,10439556600,,,,,nesrin-bozdogan
Ankara,Prof. Dr.,Adnan,TORGAY,Anesteziyoloji ve Reanimasyon,,77BC730B45675517,,,0000-0002-6829-3300,,6508333808,,,,,adnan-torgay
Adana,Doç. Dr.,Çağla,BALİ,Anesteziyoloji ve Reanimasyon,,652C88A92E1A2997,,,0000-0003-2615-1918,,56043199900,,,,,cagla-bali
Ankara,Doç. Dr.,Coşkun,ARAZ,Anesteziyoloji ve Reanimasyon,,D293BAB558682CB5,,,0000-0002-4927-6660,,9841962700,,,,,coskun-araz
Adana,Doç. Dr.,Pınar,ERGENOĞLU,Anesteziyoloji ve Reanimasyon,,6FB45412FA169FB6,,,,,6504817520,,,,,pınar-ergenoglu
Ankara,Doç. Dr.,Elvin,KESİMCİ,Anesteziyoloji ve Reanimasyon,,8773C41842781359,,,,,16506741800,,,,,
İzmir,Dr. Öğr. Üyesi Dr.(Doç.),Bahattin,TUNCALI,Anesteziyoloji ve Reanimasyon,,817D513EDD4F30F8,,,0000-0002-7898-2943,,8523872800,57205048681,6508034375,,,
Ankara,Dr. Öğr. Üyesi Dr.(Doç.),Aynur,FIRAT,Anesteziyoloji ve Reanimasyon,,3292FE3A2DF31002,,,0000-0003-1470-7501,,56543787900,57213930410,56543549100,,,
Adana,Dr. Öğr. Üyesi Dr.(Doç.),Özlem,ÖZMETE,Anesteziyoloji ve Reanimasyon,,648222B4F6E4EA0D,,,0000-0002-2972-7305,,36961208100,57192908865,,,,
Ankara,Dr. Öğr. Üyesi Dr.,Zeynep,ERSOY,Anesteziyoloji ve Reanimasyon,,48533B7E3E9D2D4D,,,0000-0003-0767-1088,,57192439170,,,,,
Ankara,Dr. Öğr. Üyesi Dr.,Asude,AYHAN,Anesteziyoloji ve Reanimasyon,,6B8EC3182C48F505,,,0000-0003-3299-6706,,57189025271,,,,,
Ankara,Dr. Öğr. Üyesi Dr.,Helin,ŞAHİNTÜRK,Anesteziyoloji ve Reanimasyon,,F10307F2F402B2D7,,,0000-0003-0159-4771,,,,,,,
Adana,Öğr. Gör. Dr.,Meltem,BAKIR KİPRİ,Anesteziyoloji ve Reanimasyon,,7F1D61EC78F0F516,,,0000-0002-7127-4936,,,,,,,
Alanya,Öğr. Gör. Dr.,Tayfun,BİRTAY,Anesteziyoloji ve Reanimasyon,,6949003417EFC83D,,,0000-0002-2956-688X,,56394548100,,,,,
Ankara,Öğr. Gör. Dr.,Aykan,GÜLLEROĞLU,Anesteziyoloji ve Reanimasyon,,5293128D3745E76F,,,0000-0002-6091-9065,,14035517200,,,,,
Adana,Öğr. Gör. Dr.,Ferhat,ŞAMLI,Anesteziyoloji ve Reanimasyon,,1159F7759638A585,,,0000-0002-5137-2731,,57192904694,,,,,
İzmir,Öğr. Gör. Dr.,Yonca,ÖZVARDAR PEKCAN,Anesteziyoloji ve Reanimasyon,,DFE135AF142FADE1,,,0000-0002-0991-7435,,57203509080,,,,,
İstanbul,Öğr. Gör. Dr.,Deniz,KIZILAY,Anesteziyoloji ve Reanimasyon,,A9BC4EE87B5E08B9,,,,,,,,,,
Ankara,Öğr. Gör. Dr.,Nükhet,AKOVALI,Anesteziyoloji ve Reanimasyon,,6FF6ED82202F778F,,,0000-0002-1237-8890,,55349864100,,,,,
Adana,Öğr. Gör. Dr.,Mediha Hacer,ÜLGER,Anesteziyoloji ve Reanimasyon,,7893D8D8A438A3C3,,,,,55370714100,,,,,
İzmir,Uzm. Dr.,Özlem,YILMAZ,Anesteziyoloji ve Reanimasyon,,,,,,,54788665700,,,,,
Konya,Uzm. Dr.,Eşref,ERDEM,Anesteziyoloji ve Reanimasyon,,,,,,,57169861700,55807077500,,,,
İstanbul,Uzm. Dr.,Özlem,ÇINAR,Anesteziyoloji ve Reanimasyon,,,,,,,6602710017,57213080890,57213080891,,,
Konya,Uzm. Dr.,Halime,ÖZKAN ÖZDEMİR,Anesteziyoloji ve Reanimasyon,,,,,,,,,,,,
Konya,Uzm. Dr.,Fatma,KARAKOÇ,Anesteziyoloji ve Reanimasyon,,,,,,,57189695234,,,,,
Adana,Uzm. Dr.,Aslı,KARSLI,Anesteziyoloji ve Reanimasyon,,,,,,,56543421900,,,,,
Konya,Uzm. Dr.,Ayşe,ERGEN,Anesteziyoloji ve Reanimasyon,,,,,,,,,,,,
Konya,Uzm. Dr.,Ömer,AYDIN,Anesteziyoloji ve Reanimasyon,,,,,,,,,,,,
Alanya,Uzm. Dr.,Mehmet Cüneyt,AKSAKAL,Anesteziyoloji ve Reanimasyon,,,,,,,22955271000,,,,,
İstanbul,Uzm. Dr.,Emin,PAŞAZADE,Anesteziyoloji ve Reanimasyon,,,,,,,,,,,,
Ankara,Uzm. Dr.,Figen,LEBLEBİCİ,Anesteziyoloji ve Reanimasyon,,,,,,,24068868300,,,,,
Ankara,Uzm. Dr.,Sevil,TİMUROĞLU,Anesteziyoloji ve Reanimasyon,,,,,,,,,,,,
Ankara,Arş. Gör. Dr.,Beyza Meltem,YURTSEVER,Anesteziyoloji ve Reanimasyon,,A392DDFFAC4661AE,,,,,,,,,,
Ankara,Arş. Gör. Dr.,Deniz,SİVRİOĞLU,Anesteziyoloji ve Reanimasyon,,AF100F90687AF79A,,,,,,,,,,
Ankara,Arş. Gör. Dr.,Nargiz,FATULLAYEVA,Anesteziyoloji ve Reanimasyon,,,,,,,,,,,,
Ankara,Arş. Gör. Dr.,Ahmed,USLU,Anesteziyoloji ve Reanimasyon,,,,,,,,,,,,
