Department,queryText
Baskent Universitesi,AD=(baskent univ)
Baskent Universitesi Tıp Fakültesi,( AD=(baskent univ SAME (Hosp* OR Adana* OR Alanya* OR Izmir* OR Istanbul* Konya* OR Med* OR Fac Med OR Arastirma Merkezi OR Tip* OR Ankara Training OR Kardiyol* OR Pathol* OR Patol* OR Pulm* OR Cardiol* OR Radiol* OR Orthopaed* OR Pediat* OR Paediat* OR Radiat* OR Nucl* OR Chest* OR Gen* OR Surg* OR Anat* OR Neurol* OR Genet* OR Transplant* OR Transplantat* OR Anesthesiol* OR Infect* Infeksiyon* OR Mikrobiyol * OR Nephrol* OR Endocrino* OR Oncol* OR Internal Med OR Gastroenterol* OR Otolaryngol* OR Otorhinolaryngol* OR Kulak* Hematol* OR Cardiovasc* OR Neurosurg* OR Ophthalmol* OR Family* OR Biochem* OR Physiol* OR Emergency* OR Plast* OR Reconstruct* OR Histol* OR Gastroenterohepatol* OR Immunol* OR Algol* OR Neck* OR Microbiol* OR Jinekol* OR Gynecol* OR Obstet* OR GyneOncol* OR Kadin* OR Pharmacol* OR Child* OR Phys Med OR Psychiat* OR Urol* OR Phys Therapy OR Biostat* OR Neonatol* OR Dermatol* OR Thorac* OR Outpatient*) ) OR (AD=baskent univ AND (AU=(Ozdemir BH) OR AU=(Ayhan A) OR AU=(Yildirir A) OR AU=(Altundag O) OR AU=(Kirnap M) OR AU=(Baskin E) OR AU=(Oksuz E) OR AU=(Ozyilkan O) OR AU=(Haberal M) OR AU=(Yerli H) OR AU=(Aydin Elcin)) ) ) NOT AD=(baskent univ SAME Ankara SAME ((Dis hekimligi OR Dent* OR Nursing OR Periodontol* ))) NOT AD=(baskent univ SAME Adana SAME ((Dis hekimligi OR Dent* OR Nursing OR Periodontol* )))
Anesteziyoloji ve Reanimasyon,AD=(baskent univ SAME (Anesthesiol* OR Anestezi OR Algol* OR Agri OR Intens* OR Yogun)) OR (AD= baskent univ AND ((AU=Kayhan Zeynep ) OR (AU=Pirat Aras ) OR (AU=Zeyneloglu Pinar ) OR (AU =Arslan Gulnaz) OR (AU =Torgay Adnan) OR (AU =Aribogan A) OR (AU =Araz Coskun) OR (AU =Akpek EA) ))
Algoloji,AD=(baskent univ SAME (Algo* OR Agri))
Yoğun Bakım,AD=(baskent univ SAME (Intens* OR Yogun))
Beyin ve Sinir Cerrahisi,AD=(baskent univ SAME (Neurosurg* OR Beyin)) OR (AD= baskent univ AND ((AU=Altinors Nur ) OR (AU=Caner Hakan ) OR (AU=Atalay Basar) OR (AU=Yilmaz Cem) ))
Çocuk Cerrahisi,AD=(baskent univ SAME (Pediat Surg OR Paediat Surg OR Cocuk Cer*)) OR (AD= baskent univ AND (AU=Temiz Abdulkerim))
Genel Cerrahi,AD=(baskent univ SAME (Surgery NOT Otorhinolaryngol NOT ENT NOT Maxillofacial NOT Oral NOT Neck NOT Reconstruct NOT Plast NOT Pediat NOT Paediat NOT Cardiovasc NOT Cardiac NOT Cardiothorac NOT Cardiothoras NOT Thorac NOT Orthopaed NOT Orthoped NOT Ortoped* NOT Trauma NOT Neck)) OR AD=(baskent univ SAME Genel Cerrahi) OR AD=(baskent univ SAME (Transplant* NOT Immunol NOT Marrow NOT Gene NOT GENES)) OR (AD= baskent univ AND ((AU=Kirnap M) OR (AU=Karakayali H) OR (AU=Moray G) OR (AU=Bilgin N) OR (AU=Haberal M)))
Transplantasyon,AD=(baskent univ SAME (Transplant* NOT Immunol NOT Marrow NOT Gene NOT Genes))
Yanık,AD=(baskent univ SAME (Burn OR Yanik))
Göğüs Cerrahisi,AD=(baskent univ SAME (Thorac OR Cardiothorac OR Gogus Cer* ))
Göz Hastalıkları,AD=(baskent univ SAME (Ophthalmol OR Eye OR Goz OR Oftal*)) OR(AD= baskent univ AND ((AU=Akova YA ) OR (AU=Yilmaz Gursel) OR (AU=Akman Ahmet) OR (AU =Aydin Pinar) OR (AU = Oto Sibel) OR (AU =Altinors DD) OR (AU =Akkoyun I) OR (AU=Altan-Yaycioglu R) ))
Kadın Hastalıkları ve Doğum,AD=(baskent univ SAME (Obstet OR Gynecol OR Kadin OR GyneOncol* OR Perinatal OR Reprod Endocrinol)) OR (AD= baskent univ AND ((AU =Ayhan A) OR (AU =Kuscu E) OR (AU =Zeyneloglu H) OR (AU =Zeyneloglu HB) OR (AU =Dursun P) OR (AU =Haberal Ali) OR (AU =Tarim E) OR (AU =Onalan G) OR (AU =Ozcimen EE)  ))
Jinekolojik Onkoloji,AD=(baskent univ SAME (Gynecol Oncol OR GyneOncol*)) OR (AD= baskent univ AND (AU =Ayhan A))
Perinatoloji,AD=(baskent univ SAME Perinatal*)
Üreme Endokrinolojisi ve İnfertilite,AD=(baskent univ SAME Reprod Endocrinol)
Kalp ve Damar Cerrahisi,AD=(baskent univ SAME (Cardiovasc Surg NOT Pediat NOT Paediat)) OR AD=(baskent univ SAME (Kalp Damar Cer* NOT Cocuk)) OR AD=(baskent univ SAME (Cardiothoras OR Cardiac OR Cardiothorac)) OR (AD= baskent univ AND (AU=Sezgin Atilla)) OR (AD= baskent univ AND (AU=Aslamaci S)) OR (AD= baskent univ AND (AU=Akay T))
Çocuk Kalp ve Damar Cerrahisi,AD=(baskent univ SAME (Pediat Cardiovasc Surg OR Paediat Cardiovasc Surg OR Cocuk Kalp Cer*))
Kulak-Burun-Boğaz Hastalıkları,AD=(baskent univ SAME (Otorhinolaryngol OR Head & Neck OR ENT OR Otolaryngol OR Kulak)) OR (AD= baskent univ AND ((AU=Ozluoglu L ) OR (AU=Aydin Erdinc )))
Ortopedi ve Travmatoloji,AD=(baskent univ SAME (Orthopaed OR Trauma OR Ortoped* Orthoped*))
Plastik ve Rekonstrüktif Cerrahi,AD=(baskent univ SAME (Reconstruct Surg OR Plast*)) OR (AD= baskent univ AND (AU=Borman H)) OR (AD= baskent univ AND (AU=Uysal AC)) OR (AD= baskent univ AND (AU=Uysal CA)) OR (AD= baskent univ AND (AU=Ertas Nilgun))
Tıbbi Patoloji,AD=(baskent univ SAME (Pathol OR Patol*)) OR (AD= baskent univ AND ((AU=Ozdemir BH) OR (AU=Oezdemir Handan) OR (AU=Kayaselcuk F)))
Üroloji,AD=(baskent univ SAME Urol*) OR (AD= baskent univ AND ((AU=Aygun Cem ) OR (AU=Ozkardes H )))
Acil Tıp,AD=(baskent univ SAME (Emergency OR Acil))
Adli Tıp,AD=(baskent univ SAME (Adli OR Foren*)) OR (AD= baskent univ AND (AU=Buken E))
Aile hekimliği,AD=(baskent univ SAME Family Med) OR (AD= baskent univ AND (AU=Oksuz E)) OR (AD= baskent univ AND (AU=Kut A))
Çocuk Sağlığı ve Hastalıkları,AD=(baskent univ SAME (Pediat OR Paediat OR Child)) OR AD=(baskent univ SAME (Cocuk NOT Cerrahisi NOT Ruh NOT Psikiya*)) OR (AD= baskent univ AND (AU=Baskin E))
Çocuk Allerjisi,AD=(baskent univ SAME (Pediat Aller* OR Paediat Aller* OR Child Aller* OR Cocuk Aller*)) OR (AD= baskent univ AND (AU=Ozbek Ozlem))
Çocuk Endokrinolojisi,AD=(baskent univ SAME (Pediat Endocrinol OR Paediat Endocrinol OR Cocuk Endokrin*))
Çocuk Gastroenteroloji-Hepatoloji Ve Beslenme,AD=(baskent univ SAME (Pediat Gastroenterol OR Paediat Gastroenterol OR Cocuk Gastro*)) OR (AD= baskent univ AND (AU=Ozcay Figen))
Çocuk Hematoloji - Onkoloji,AD=(baskent univ SAME (Pediat Hemato* OR Paediat Hemato* OR Cocuk Hemato* OR Paediat Haemato*)) OR (AD= baskent univ AND (AU=Sarialioglu F)) OR (AD= baskent univ AND (AU=Olcay Lale))
Çocuk Kardiyoloji,AD=(baskent univ SAME (Pediat Cardiol OR Paediat Cardiol OR Pediat Kardiyol* OR Pediyat Kardiyol* OR Cocuk Kardiyol*)) OR (AD= baskent univ AND (AU=Tokel K)) OR (AD= baskent univ AND (AU=Tokel N)) OR (AD= baskent univ AND (AU=Varan Birgul)) OR (AD= baskent univ AND (AU=Erdogan Ilkay))
Çocuk Nefroloji,AD=(baskent univ SAME (Pediat Nephrol OR Paediat Nephrol OR Cocuk Nef*)) OR (AD= baskent univ AND ((AU=Baskin E ) OR (AU=Gulleroglu K )))
Çocuk Nöroloji,AD=(baskent univ SAME (Pediat Neurol OR Paediat Neurol OR Cocuk Norol* OR Ped* Norol*))
Yenidoğan,AD=(baskent univ SAME (Neonatol OR Yenidogan)) OR (AD= baskent univ AND ((AU=Gurakan B) OR (AU=Tarcan A ) OR (AU=Ecevit A)))
Çocuk ve Ergen Ruh Sağlığı Hastalıkları,AD=(baskent univ SAME (Child & Adolescent Psychiat OR Ergen Ruh OR Cocuk Psikiyatri* ))
Dermatoloji,AD=(baskent univ SAME (Dermatol* OR Deri OR Zuhrevi)) OR (AD= baskent univ AND ((AU=Seckin Deniz) OR (AU=Gulec AT) OR (AU=Ozcan Deren)))
Enfeksiyon Hastalıkları ve Klinik Mikrobiyoloji,AD=(baskent univ SAME (Infect Dis NOT Pediat NOT Paediat NOT Cocuk)) OR AD=(baskent univ SAME (Infeksiyon NOT Cocuk)) OR AD=(baskent univ SAME (Enfeksiyon NOT Cocuk)) OR (AD= baskent univ AND ((AU=Azap OK) OR (AU=Arslan Hande) OR (AU=Demiroglu Yusuf)))
Fiziksel Tıp ve Rehabilitasyon,AD=(baskent univ SAME (Phys Med OR Phys Therapy OR Fizik Tedavi)) OR (AD= baskent univ AND ((AU=Karatas Metin) OR (AU=Sozay Seyhan) OR (AU=Leblebici B) OR (AU=Tuzun EH) OR (AU=Turhan Nur) OR (AU=Adam Mehmet) OR (AU=Yemisci OU) ))
Göğüs Hastalıkları,AD=(baskent univ SAME (Pulm* OR Gogus Has*)) OR (AD= baskent univ AND ((AU=Akcay Sule) OR (AU=Eyuboglu FO) OR (AU=Ulubay Gaye) OR (AU=Kupeli Elif) OR (AU=Bozbas SS)))
